Order Date,Order ID,Year,Month,Weekday Name,Total Promotions,Total Charged,Category,Item Total,Refunds,Refund Category,labels
2015-01-01,002-4734693-9586614,2015,1,Thursday,$0.00,8.82,Unknown Binding,4.83,0.0,0,Jan 2015
2017-01-02,114-8780737-0153856,2017,1,Monday,$0.00,19.48,0,14.99,0.0,0,Jan 2017
2017-01-02,114-7252217-3227457,2017,1,Monday,$0.00,20.88,0,20.88,20.88,0,Jan 2017
2017-01-03,112-0472479-6618651,2017,1,Tuesday,$0.00,79.95,Shoes,79.95,0.0,0,Jan 2017
2017-01-04,112-0885409-0308269,2017,1,Wednesday,$0.00,43.28,Apparel,43.28,0.0,0,Jan 2017
2018-01-04,114-8611062-0409054,2018,1,Thursday,$4.80,20.77,Health and Beauty,25.57,0.0,0,Jan 2018
2019-01-04,114-1475346-4472266,2019,1,Friday,$0.00,8.24,Health and Beauty,8.24,0.0,0,Jan 2019
2019-01-04,114-6310652-1736219,2019,1,Friday,$0.00,23.19,Misc.,7.99,0.0,0,Jan 2019
2019-01-04,114-4751089-1815416,2019,1,Friday,$0.00,6.31,Misc.,6.31,0.0,0,Jan 2019
2019-01-04,114-6310652-1736219,2019,1,Friday,$0.00,23.19,Health and Beauty,8.89,0.0,0,Jan 2019
2019-01-04,114-6310652-1736219,2019,1,Friday,$0.00,23.19,Misc.,6.31,0.0,0,Jan 2019
2019-01-04,114-3228481-2629017,2019,1,Friday,$0.00,8.99,Misc.,8.99,0.0,0,Jan 2019
2019-01-04,114-4751089-1815416,2019,1,Friday,$0.00,6.31,Health and Beauty,23.27,0.0,0,Jan 2019
2018-01-05,111-2705949-6366605,2018,1,Friday,$0.00,15.9,Hardcover,15.9,0.0,0,Jan 2018
2018-01-05,111-2705949-6366605,2018,1,Friday,$0.00,15.9,Paperback,46.67,0.0,0,Jan 2018
2017-01-06,112-2078062-8872254,2017,1,Friday,$0.00,5.41,Health and Beauty,5.41,0.0,0,Jan 2017
2017-01-06,112-2078062-8872254,2017,1,Friday,$0.00,5.41,Health and Beauty,18.34,0.0,0,Jan 2017
2015-01-08,104-8690293-2153802,2015,1,Thursday,$0.00,42.15,Shoes,37.83,0.0,0,Jan 2015
2018-01-10,114-4972650-8797045,2018,1,Wednesday,$2.00,13.99,Health and Beauty,41.97,0.0,0,Jan 2018
2015-01-11,116-4427202-0013038,2015,1,Sunday,$0.00,9.38,Unknown Binding,5.39,0.0,0,Jan 2015
2015-01-11,116-4177495-1645828,2015,1,Sunday,$0.00,13.94,Single Issue Magazine,9.95,0.0,0,Jan 2015
2015-01-13,107-2736593-0469054,2015,1,Tuesday,$0.00,20.99,Blu-ray,9.87,0.0,0,Jan 2015
