,Order Date,Category,Item Total,Number Items,xlabel,color,niceDate
0,2006-03-27,DVD,6.99,1,Mar 06,fuchsia,200603
1,2006-03-27,Hardcover,32.730000000000004,2,Mar 06,lime,200603
2,2006-03-27,Paperback,33.06,3,Mar 06,blue,200603
3,2008-03-05,Paperback,53.93,2,Mar 08,blue,200803
4,2008-06-30,Hardcover,7.99,1,Jun 08,lime,200806
5,2008-06-30,Mass Market Paperback,7.99,1,Jun 08,slategrey,200806
6,2008-06-30,Paperback,51.44,2,Jun 08,blue,200806
7,2008-12-30,Hardcover,19.77,1,Dec 08,lime,200812
8,2008-12-30,Paperback,33.36,2,Dec 08,blue,200812
9,2009-12-15,Video Game,199.99,1,Dec 09,aqua,200912
10,2011-01-21,Hardcover,21.75,1,Jan 11,lime,201101
11,2011-01-21,Paperback,21.75,2,Jan 11,blue,201101
12,2011-02-08,Kitchen,11.99,1,Feb 11,crimson,201102
13,2011-06-15,Baby Product,31.9,1,Jun 11,darkviolet,201106
14,2011-06-15,Misc.,13.53,1,Jun 11,darkcyan,201106
15,2011-06-15,Paperback,31.1,1,Jun 11,blue,201106
16,2012-03-02,Paperback,39.879999999999995,3,Mar 12,blue,201203
17,2012-05-31,0,19.92,1,May 12,lightpink,201205
18,2012-05-31,Paperback,31.05,2,May 12,blue,201205
19,2013-05-12,Ecard Gift Certificate,25.0,1,May 13,black,201305
20,2013-06-10,Hardcover,25.71,3,Jun 13,lime,201306
21,2013-06-10,Paperback,35.64,3,Jun 13,blue,201306
22,2013-06-12,Paperback,0.8,1,Jun 13,blue,201306
23,2013-06-24,Accessory,179.0,1,Jun 13,coral,201306
24,2013-06-24,Personal Computers,81.31,2,Jun 13,lightskyblue,201306
25,2013-09-17,0,88.65,1,Sep 13,lightpink,201309
26,2013-10-15,0,31.13,1,Oct 13,lightpink,201310
27,2013-10-17,Toy,40.04,1,Oct 13,yellow,201310
28,2013-10-21,Misc.,9.96,1,Oct 13,darkcyan,201310
29,2013-10-24,Personal Computers,146.13,1,Oct 13,lightskyblue,201310
30,2013-10-24,Tools & Home Improvement,14.49,1,Oct 13,tan,201310
31,2013-11-15,Health and Beauty,12.95,1,Nov 13,olive,201311
32,2013-11-23,0,109.94,2,Nov 13,lightpink,201311
33,2013-12-01,0,9.99,1,Dec 13,lightpink,201312
34,2013-12-01,Apparel,10.81,1,Dec 13,mediumspringgreen,201312
35,2013-12-01,Board book,11.5,1,Dec 13,deepskyblue,201312
36,2013-12-01,Misc.,8.47,2,Dec 13,darkcyan,201312
37,2013-12-01,Toy,104.0,8,Dec 13,yellow,201312
38,2013-12-01,Unknown Binding,9.96,1,Dec 13,dimgrey,201312
39,2013-12-05,Toy,8.98,1,Dec 13,yellow,201312
40,2013-12-08,0,35.3,1,Dec 13,lightpink,201312
41,2013-12-08,Video Game,16.19,1,Dec 13,aqua,201312
42,2013-12-16,Kitchen,37.99,1,Dec 13,crimson,201312
43,2013-12-16,Toy,50.07,3,Dec 13,yellow,201312
44,2013-12-21,DVD,7.03,1,Dec 13,fuchsia,201312
45,2013-12-21,Kitchen,8.92,1,Dec 13,crimson,201312
46,2013-12-21,Personal Computers,63.82000000000001,2,Dec 13,lightskyblue,201312
47,2013-12-21,Toy,87.54,4,Dec 13,yellow,201312
48,2013-12-21,Video Game,15.23,1,Dec 13,aqua,201312
49,2013-12-22,Electronics,24.99,1,Dec 13,gold,201312
50,2013-12-22,Video Game,33.8,1,Dec 13,aqua,201312
51,2014-01-14,Paperback,10.59,1,Jan 14,blue,201401
52,2014-01-16,Health and Beauty,13.07,1,Jan 14,olive,201401
53,2014-01-22,Kitchen,19.5,1,Jan 14,crimson,201401
54,2014-01-29,Health and Beauty,63.150000000000006,2,Jan 14,olive,201401
55,2014-01-30,0,18.95,1,Jan 14,lightpink,201401
56,2014-01-30,Toy,45.029999999999994,2,Jan 14,yellow,201401
57,2014-02-06,Toy,18.77,1,Feb 14,yellow,201402
58,2014-02-16,Ecard Gift Certificate,20.0,1,Feb 14,black,201402
59,2014-02-17,Ecard Gift Certificate,25.0,1,Feb 14,black,201402
60,2014-02-22,0,8.39,1,Feb 14,lightpink,201402
61,2014-02-26,Hardcover,15.75,1,Feb 14,lime,201402
62,2014-03-14,Health and Beauty,36.0,1,Mar 14,olive,201403
63,2014-03-19,Personal Computers,12.85,1,Mar 14,lightskyblue,201403
64,2014-04-01,Hardcover,9.77,1,Apr 14,lime,201404
65,2014-04-05,Kitchen,107.56,3,Apr 14,crimson,201404
66,2014-04-09,0,5.38,1,Apr 14,lightpink,201404
67,2014-04-09,Health and Beauty,9.54,1,Apr 14,olive,201404
68,2014-04-09,Office Product,7.9399999999999995,2,Apr 14,tomato,201404
69,2014-04-09,Toy,30.580000000000002,4,Apr 14,yellow,201404
70,2014-04-14,Toy,28.950000000000003,3,Apr 14,yellow,201404
71,2014-05-08,0,19.99,1,May 14,lightpink,201405
72,2014-05-10,0,29.95,1,May 14,lightpink,201405
73,2014-05-10,Health and Beauty,16.24,1,May 14,olive,201405
74,2014-05-10,Shoes,21.22,1,May 14,mediumorchid,201405
75,2014-05-11,Ecard Gift Certificate,200.0,1,May 14,black,201405
76,2014-05-13,Blu-ray,12.98,1,May 14,deeppink,201405
77,2014-05-13,Hardcover,16.37,1,May 14,lime,201405
78,2014-05-13,Paperback,47.41,5,May 14,blue,201405
79,2014-05-22,Misc.,26.58,2,May 14,darkcyan,201405
80,2014-05-23,Health and Beauty,21.05,1,May 14,olive,201405
81,2014-05-23,Toy,100.02,3,May 14,yellow,201405
82,2014-05-29,0,13.99,1,May 14,lightpink,201405
83,2014-05-29,Apparel,36.79,1,May 14,mediumspringgreen,201405
84,2014-05-31,Tools & Home Improvement,44.65,1,May 14,tan,201405
85,2014-06-03,Health and Beauty,28.27,2,Jun 14,olive,201406
86,2014-06-07,Blu-ray,19.43,2,Jun 14,deeppink,201406
87,2014-06-07,Electronics,161.97,2,Jun 14,gold,201406
88,2014-06-08,DVD,268.1,1,Jun 14,fuchsia,201406
89,2014-06-11,Personal Computers,208.31,3,Jun 14,lightskyblue,201406
90,2014-06-26,0,17.96,1,Jun 14,lightpink,201406
91,2014-06-26,Health and Beauty,94.38,7,Jun 14,olive,201406
92,2014-06-26,Paperback,19.18,2,Jun 14,blue,201406
93,2014-06-26,Toy,25.39,3,Jun 14,yellow,201406
94,2014-07-02,0,19.99,1,Jul 14,lightpink,201407
95,2014-07-02,Toy,19.84,1,Jul 14,yellow,201407
96,2014-07-09,0,13.14,2,Jul 14,lightpink,201407
97,2014-07-09,Health and Beauty,6.48,1,Jul 14,olive,201407
98,2014-07-12,0,10.52,1,Jul 14,lightpink,201407
99,2014-07-12,Apparel,16.24,1,Jul 14,mediumspringgreen,201407
100,2014-07-12,Kitchen,9.44,1,Jul 14,crimson,201407
101,2014-07-13,Health and Beauty,46.4,1,Jul 14,olive,201407
102,2014-07-20,Apparel,128.05,1,Jul 14,mediumspringgreen,201407
103,2014-07-20,Toy,12.7,1,Jul 14,yellow,201407
104,2014-07-30,Kitchen,189.99,1,Jul 14,crimson,201407
105,2014-07-31,Kitchen,19.95,1,Jul 14,crimson,201407
106,2014-08-02,Accessory,58.96,1,Aug 14,coral,201408
107,2014-08-07,Hardcover,6.5,1,Aug 14,lime,201408
108,2014-08-09,Shoes,19.09,1,Aug 14,mediumorchid,201408
109,2014-08-12,Health and Beauty,35.25,2,Aug 14,olive,201408
110,2014-08-21,0,20.0,1,Aug 14,lightpink,201408
111,2014-08-21,Health and Beauty,8.5,1,Aug 14,olive,201408
112,2014-08-21,Toy,78.25,4,Aug 14,yellow,201408
113,2014-09-06,0,22.11,2,Sep 14,lightpink,201409
114,2014-09-06,Apparel,32.26,1,Sep 14,mediumspringgreen,201409
115,2014-09-06,Paperback,26.869999999999997,2,Sep 14,blue,201409
116,2014-09-07,0,6.93,1,Sep 14,lightpink,201409
117,2014-09-07,Apparel,175.6,4,Sep 14,mediumspringgreen,201409
118,2014-09-07,Paperback,13.95,1,Sep 14,blue,201409
119,2014-09-07,Toy,135.97,6,Sep 14,yellow,201409
120,2014-09-08,Toy,16.68,1,Sep 14,yellow,201409
121,2014-09-09,Baby Product,214.49,1,Sep 14,darkviolet,201409
122,2014-09-11,Tools & Home Improvement,120.1,1,Sep 14,tan,201409
123,2014-09-12,Kitchen,14.0,1,Sep 14,crimson,201409
124,2014-09-16,Health and Beauty,30.94,1,Sep 14,olive,201409
125,2014-09-17,Baby Product,31.04,1,Sep 14,darkviolet,201409
126,2014-09-17,Grocery,122.31,3,Sep 14,midnightblue,201409
127,2014-09-17,Health and Beauty,15.1,1,Sep 14,olive,201409
128,2014-09-17,Toy,13.2,2,Sep 14,yellow,201409
129,2014-09-22,Paperback,26.590000000000003,2,Sep 14,blue,201409
130,2014-09-28,0,23.64,2,Sep 14,lightpink,201409
131,2014-10-02,Kitchen,6.48,1,Oct 14,crimson,201410
132,2014-10-03,0,28.979999999999997,2,Oct 14,lightpink,201410
133,2014-10-03,Tools & Home Improvement,222.70999999999998,2,Oct 14,tan,201410
134,2014-10-04,Health and Beauty,12.95,1,Oct 14,olive,201410
135,2014-10-06,0,34.5,1,Oct 14,lightpink,201410
136,2014-10-06,Kitchen,19.44,1,Oct 14,crimson,201410
137,2014-10-06,Misc.,6.48,1,Oct 14,darkcyan,201410
138,2014-10-07,Paperback,7.34,1,Oct 14,blue,201410
139,2014-10-08,0,34.98,1,Oct 14,lightpink,201410
140,2014-10-08,Grocery,105.03,3,Oct 14,midnightblue,201410
141,2014-10-08,Health and Beauty,14.899999999999999,2,Oct 14,olive,201410
142,2014-10-09,Paperback,26.94,1,Oct 14,blue,201410
143,2014-10-12,Apparel,14.72,1,Oct 14,mediumspringgreen,201410
144,2014-10-12,Paperback,38.06999999999999,3,Oct 14,blue,201410
145,2014-10-12,Toy,23.25,1,Oct 14,yellow,201410
146,2014-10-21,DVD,30.14,2,Oct 14,fuchsia,201410
147,2014-10-21,Tools & Home Improvement,215.42,1,Oct 14,tan,201410
